"gene","removal_reason"
"Phvul.008G062000","no readcount"
"Phvul.008G063050","no readcount"
"Phvul.008G063100","no readcount"
"Phvul.008G063200","no readcount"
"Phvul.008G063500","no readcount"
"Phvul.008G063600","no readcount"
"Phvul.008G064100","no readcount"
"Phvul.008G064800","no readcount"
"Phvul.008G065000","no readcount"
"Phvul.008G072300","no readcount"
"Phvul.008G076200","no readcount"
"Phvul.008G078200","no readcount"
"Phvul.008G079900","no readcount"
"Phvul.008G080200","no readcount"
"Phvul.008G082101","no readcount"
"Phvul.008G083700","no readcount"
"Phvul.008G086500","no readcount"
"Phvul.008G091700","no readcount"
"Phvul.008G093400","no readcount"
"Phvul.008G094200","no readcount"
"Phvul.008G101100","no readcount"
"Phvul.008G102700","no readcount"
"Phvul.008G102900","no readcount"
"Phvul.008G105075","no readcount"
"Phvul.008G107900","no readcount"
"Phvul.008G109400","no readcount"
"Phvul.008G120800","no readcount"
"Phvul.008G121400","no readcount"
"Phvul.008G123100","no readcount"
"Phvul.008G131700","no readcount"
"Phvul.008G134700","no readcount"
"Phvul.008G145500","no readcount"
"Phvul.008G147100","no readcount"
"Phvul.008G148206","no readcount"
"Phvul.008G149300","no readcount"
"Phvul.008G149613","no readcount"
"Phvul.008G154700","no readcount"
"Phvul.008G163350","no readcount"
"Phvul.008G166800","no readcount"
"Phvul.008G171500","no readcount"
"Phvul.008G171600","no readcount"
"Phvul.008G172600","no readcount"
"Phvul.008G177200","no readcount"
"Phvul.008G177300","no readcount"
"Phvul.008G178400","no readcount"
"Phvul.008G179600","no readcount"
"Phvul.008G180000","no readcount"
"Phvul.008G189500","no readcount"
"Phvul.008G195700","no readcount"
"Phvul.008G197914","no readcount"
"Phvul.008G201400","no readcount"
"Phvul.008G215300","no readcount"
"Phvul.008G224200","no readcount"
"Phvul.008G225100","no readcount"
"Phvul.008G227000","no readcount"
"Phvul.008G229200","no readcount"
"Phvul.008G231800","no readcount"
"Phvul.008G234400","no readcount"
"Phvul.008G235700","no readcount"
"Phvul.008G251200","no readcount"
"Phvul.008G252600","no readcount"
"Phvul.008G256600","no readcount"
"Phvul.008G259500","no readcount"
"Phvul.008G265500","no readcount"
"Phvul.008G266800","no readcount"
"Phvul.008G267400","no readcount"
"Phvul.008G270100","no readcount"
"Phvul.008G270500","no readcount"
"Phvul.008G275800","no readcount"
"Phvul.008G277400","no readcount"
"Phvul.008G281800","no readcount"
"Phvul.008G283600","no readcount"
"Phvul.008G285500","no readcount"
"Phvul.008G289400","no readcount"
"Phvul.008G291800","no readcount"
"Phvul.008G293100","no readcount"
"Phvul.009G000700","no readcount"
"Phvul.009G006100","no readcount"
"Phvul.009G009100","no readcount"
"Phvul.009G009500","no readcount"
"Phvul.009G011200","no readcount"
"Phvul.009G025600","no readcount"
"Phvul.009G034200","no readcount"
"Phvul.009G034600","no readcount"
"Phvul.009G035500","no readcount"
"Phvul.009G038300","no readcount"
"Phvul.009G038800","no readcount"
"Phvul.009G039100","no readcount"
