"gene","removal_reason"
"Vigun03g177200","no readcount"
"Vigun03g178000","no readcount"
"Vigun03g181500","no readcount"
"Vigun03g184000","no readcount"
"Vigun03g188400","no readcount"
"Vigun03g192300","no readcount"
"Vigun03g192500","no readcount"
"Vigun03g198900","no readcount"
"Vigun03g199050","no readcount"
"Vigun03g199700","no readcount"
"Vigun03g202700","no readcount"
"Vigun03g205300","no readcount"
"Vigun03g211100","no readcount"
"Vigun03g216000","no readcount"
"Vigun03g217000","no readcount"
"Vigun03g218500","no readcount"
"Vigun03g218800","no readcount"
"Vigun03g219500","no readcount"
"Vigun03g222500","no readcount"
"Vigun03g223500","no readcount"
"Vigun03g225900","no readcount"
"Vigun03g226000","no readcount"
"Vigun03g226700","no readcount"
"Vigun03g227900","no readcount"
"Vigun03g229600","no readcount"
"Vigun03g232800","no readcount"
"Vigun03g236400","no readcount"
"Vigun03g236500","no readcount"
"Vigun03g237200","no readcount"
"Vigun03g239300","no readcount"
"Vigun03g241900","no readcount"
"Vigun03g243900","no readcount"
"Vigun03g247300","no readcount"
"Vigun03g248200","no readcount"
"Vigun03g251100","no readcount"
"Vigun03g251600","no readcount"
"Vigun03g253800","no readcount"
"Vigun03g254000","no readcount"
"Vigun03g258400","no readcount"
"Vigun03g259100","no readcount"
"Vigun03g260200","no readcount"
"Vigun03g261300","no readcount"
"Vigun03g262000","no readcount"
"Vigun03g262300","no readcount"
"Vigun03g263800","no readcount"
"Vigun03g264000","no readcount"
"Vigun03g266900","no readcount"
"Vigun03g269900","no readcount"
"Vigun03g271100","no readcount"
"Vigun03g277100","no readcount"
"Vigun03g278750","no readcount"
"Vigun03g279100","no readcount"
"Vigun03g283500","no readcount"
"Vigun03g287500","no readcount"
"Vigun03g288100","no readcount"
"Vigun03g291300","no readcount"
"Vigun03g291400","no readcount"
"Vigun03g294100","no readcount"
"Vigun03g296000","no readcount"
"Vigun03g297600","no readcount"
"Vigun03g297700","no readcount"
"Vigun03g299900","no readcount"
"Vigun03g301750","no readcount"
"Vigun03g302200","no readcount"
"Vigun03g302400","no readcount"
"Vigun03g307300","no readcount"
"Vigun03g307400","no readcount"
"Vigun03g308600","no readcount"
"Vigun03g310400","no readcount"
"Vigun03g312500","no readcount"
"Vigun03g313200","no readcount"
"Vigun03g314000","no readcount"
"Vigun03g316900","no readcount"
"Vigun03g317500","no readcount"
"Vigun03g319000","no readcount"
"Vigun03g324600","no readcount"
"Vigun03g327000","no readcount"
"Vigun03g327300","no readcount"
"Vigun03g328100","no readcount"
"Vigun03g332200","no readcount"
"Vigun03g334300","no readcount"
"Vigun03g338400","no readcount"
"Vigun03g340000","no readcount"
"Vigun03g340700","no readcount"
"Vigun03g344300","no readcount"
"Vigun03g347700","no readcount"
"Vigun03g350300","no readcount"
"Vigun03g353400","no readcount"
"Vigun03g358100","no readcount"
"Vigun03g359100","no readcount"
"Vigun03g360600","no readcount"
"Vigun03g360800","no readcount"
"Vigun03g362000","no readcount"
"Vigun03g365100","no readcount"
"Vigun03g366900","no readcount"
"Vigun03g368900","no readcount"
"Vigun03g370700","no readcount"
"Vigun03g372900","no readcount"
"Vigun03g377100","no readcount"
"Vigun03g378200","no readcount"
"Vigun03g379400","no readcount"
"Vigun03g380700","no readcount"
"Vigun03g380800","no readcount"
"Vigun03g385100","no readcount"
"Vigun03g385200","no readcount"
"Vigun03g386900","no readcount"
"Vigun03g387100","no readcount"
"Vigun03g387600","no readcount"
"Vigun03g388200","no readcount"
"Vigun03g388900","no readcount"
"Vigun03g391000","no readcount"
"Vigun03g392500","no readcount"
"Vigun03g395600","no readcount"
"Vigun03g396200","no readcount"
"Vigun03g396500","no readcount"
"Vigun03g397000","no readcount"
"Vigun03g398900","no readcount"
"Vigun03g399000","no readcount"
"Vigun03g401200","no readcount"
"Vigun03g404300","no readcount"
"Vigun03g404400","no readcount"
"Vigun03g405100","no readcount"
"Vigun03g409100","no readcount"
"Vigun03g423300","no readcount"
"Vigun03g430800","no readcount"
"Vigun03g432200","no readcount"
"Vigun03g434800","no readcount"
"Vigun03g434900","no readcount"
"Vigun03g442700","no readcount"
"Vigun03g443600","no readcount"
"Vigun03g444000","no readcount"
"Vigun03g444400","no readcount"
"Vigun03g446900","no readcount"
"Vigun04g000300","no readcount"
"Vigun04g001100","no readcount"
"Vigun04g001900","no readcount"
"Vigun04g007001","no readcount"
"Vigun04g010500","no readcount"
"Vigun04g013600","no readcount"
"Vigun04g016750","no readcount"
"Vigun04g017100","no readcount"
"Vigun04g018700","no readcount"
"Vigun04g021300","no readcount"
"Vigun04g022200","no readcount"
"Vigun04g028700","no readcount"
"Vigun04g029100","no readcount"
