"gene","removal_reason"
"Bcin02g07170","low readcount"
"Bcin02g07620","low readcount"
"Bcin02g08620","low readcount"
"Bcin02g08680","low readcount"
"Bcin02g08720","low readcount"
"Bcin02g08750","low readcount"
"Bcin02g08860","low readcount"
"Bcin02g09130","low readcount"
"Bcin03g00550","low readcount"
"Bcin03g00800","low readcount"
"Bcin03g00810","low readcount"
"Bcin03g00960","low readcount"
"Bcin03g00970","low readcount"
"Bcin03g01060","low readcount"
"Bcin03g01100","low readcount"
"Bcin03g01620","low readcount"
"Bcin03g01680","low readcount"
"Bcin03g01880","low readcount"
"Bcin03g01900","low readcount"
"Bcin03g02190","low readcount"
"Bcin03g02600","low readcount"
"Bcin03g02620","low readcount"
"Bcin03g02690","low readcount"
"Bcin03g02760","low readcount"
"Bcin03g02810","low readcount"
"Bcin03g02880","low readcount"
"Bcin03g02930","low readcount"
"Bcin03g02950","low readcount"
"Bcin03g03110","low readcount"
"Bcin03g03510","low readcount"
"Bcin03g03520","low readcount"
"Bcin03g03600","low readcount"
"Bcin03g04130","low readcount"
"Bcin03g04180","low readcount"
"Bcin03g04290","low readcount"
"Bcin03g04300","low readcount"
"Bcin03g04420","low readcount"
"Bcin03g04440","low readcount"
"Bcin03g04560","low readcount"
"Bcin03g04760","low readcount"
"Bcin03g04860","low readcount"
"Bcin03g04900","low readcount"
"Bcin03g04960","low readcount"
"Bcin03g05000","low readcount"
"Bcin03g05160","low readcount"
"Bcin03g05220","low readcount"
"Bcin03g05330","low readcount"
"Bcin03g05340","low readcount"
"Bcin03g05490","low readcount"
"Bcin03g05610","low readcount"
"Bcin03g05660","low readcount"
"Bcin03g05970","low readcount"
"Bcin03g06030","low readcount"
"Bcin03g06420","low readcount"
"Bcin03g06720","low readcount"
"Bcin03g06850","low readcount"
"Bcin03g07260","low readcount"
"Bcin03g07310","low readcount"
"Bcin03g07640","low readcount"
"Bcin03g08350","low readcount"
"Bcin03g08590","low readcount"
"Bcin03g08870","low readcount"
"Bcin03g09160","low readcount"
"Bcin03g09200","low readcount"
"Bcin03g09260","low readcount"
"Bcin03g09300","low readcount"
"Bcin04g00080","low readcount"
"Bcin04g00160","low readcount"
"Bcin04g00170","low readcount"
"Bcin04g00480","low readcount"
"Bcin04g00900","low readcount"
"Bcin04g01390","low readcount"
"Bcin04g01780","low readcount"
"Bcin04g01860","low readcount"
"Bcin04g01910","low readcount"
"Bcin04g02040","low readcount"
"Bcin04g02110","low readcount"
"Bcin04g02120","low readcount"
"Bcin04g02260","low readcount"
"Bcin04g02310","low readcount"
"Bcin04g02340","low readcount"
"Bcin04g02390","low readcount"
"Bcin04g02520","low readcount"
"Bcin04g03060","low readcount"
"Bcin04g03070","low readcount"
"Bcin04g03080","low readcount"
"Bcin04g03270","low readcount"
"Bcin04g03280","low readcount"
"Bcin04g03380","low readcount"
"Bcin04g03520","low readcount"
"Bcin04g03670","low readcount"
"Bcin04g03720","low readcount"
"Bcin04g03930","low readcount"
"Bcin04g04210","low readcount"
"Bcin04g04400","low readcount"
"Bcin04g04670","low readcount"
"Bcin04g04780","low readcount"
"Bcin04g04800","low readcount"
"Bcin04g04810","low readcount"
"Bcin04g05120","low readcount"
"Bcin04g05180","low readcount"
"Bcin04g05200","low readcount"
"Bcin04g05270","low readcount"
"Bcin04g05300","low readcount"
"Bcin04g05310","low readcount"
"Bcin04g05500","low readcount"
"Bcin04g05520","low readcount"
"Bcin04g05800","low readcount"
"Bcin04g05840","low readcount"
"Bcin04g05940","low readcount"
"Bcin04g06020","low readcount"
"Bcin04g06270","low readcount"
"Bcin04g06340","low readcount"
"Bcin04g06360","low readcount"
"Bcin04g06480","low readcount"
"Bcin04g06770","low readcount"
"Bcin04g06780","low readcount"
"Bcin04g06820","low readcount"
"Bcin05g00070","low readcount"
"Bcin05g00380","low readcount"
"Bcin05g00510","low readcount"
"Bcin05g00580","low readcount"
"Bcin05g00670","low readcount"
"Bcin05g00820","low readcount"
"Bcin05g01140","low readcount"
"Bcin05g01190","low readcount"
"Bcin05g01290","low readcount"
"Bcin05g01570","low readcount"
"Bcin05g01870","low readcount"
"Bcin05g01890","low readcount"
"Bcin05g02110","low readcount"
"Bcin05g02320","low readcount"
"Bcin05g02330","low readcount"
"Bcin05g02500","low readcount"
"Bcin05g02600","low readcount"
"Bcin05g02700","low readcount"
"Bcin05g02760","low readcount"
"Bcin05g02870","low readcount"
"Bcin05g03380","low readcount"
"Bcin05g03520","low readcount"
"Bcin05g03600","low readcount"
"Bcin05g03880","low readcount"
"Bcin05g03900","low readcount"
"Bcin05g04860","low readcount"
"Bcin05g05220","low readcount"
"Bcin05g05340","low readcount"
"Bcin05g05410","low readcount"
"Bcin05g05470","low readcount"
"Bcin05g05500","low readcount"
"Bcin05g05540","low readcount"
"Bcin05g05750","low readcount"
"Bcin05g06000","low readcount"
"Bcin05g06050","low readcount"
"Bcin05g06370","low readcount"
"Bcin05g06520","low readcount"
"Bcin05g06650","low readcount"
"Bcin05g06780","low readcount"
"Bcin05g06800","low readcount"
"Bcin05g07120","low readcount"
"Bcin05g07660","low readcount"
"Bcin05g07870","low readcount"
"Bcin05g07900","low readcount"
"Bcin05g07920","low readcount"
"Bcin05g07980","low readcount"
"Bcin05g08250","low readcount"
"Bcin05g08330","low readcount"
"Bcin05g08360","low readcount"
"Bcin06g00610","low readcount"
"Bcin06g00640","low readcount"
"Bcin06g00650","low readcount"
"Bcin06g01230","low readcount"
"Bcin06g01600","low readcount"
"Bcin06g01630","low readcount"
"Bcin06g01920","low readcount"
"Bcin06g02730","low readcount"
"Bcin06g02890","low readcount"
"Bcin06g03600","low readcount"
"Bcin06g03610","low readcount"
"Bcin06g03720","low readcount"
"Bcin06g04060","low readcount"
"Bcin06g04550","low readcount"
"Bcin06g04740","low readcount"
"Bcin06g05470","low readcount"
"Bcin06g05770","low readcount"
"Bcin06g06100","low readcount"
"Bcin06g06240","low readcount"
"Bcin06g06260","low readcount"
"Bcin06g06330","low readcount"
"Bcin06g06600","low readcount"
"Bcin06g06920","low readcount"
"Bcin06g06990","low readcount"
"Bcin06g07010","low readcount"
"Bcin06g07340","low readcount"
"Bcin06g07370","low readcount"
"Bcin06g07540","low readcount"
"Bcin07g00260","low readcount"
"Bcin07g00320","low readcount"
"Bcin07g00440","low readcount"
"Bcin07g00630","low readcount"
"Bcin07g00960","low readcount"
"Bcin07g01010","low readcount"
"Bcin07g01110","low readcount"
"Bcin07g01170","low readcount"
"Bcin07g01340","low readcount"
"Bcin07g01610","low readcount"
"Bcin07g01680","low readcount"
"Bcin07g01840","low readcount"
"Bcin07g02310","low readcount"
"Bcin07g02350","low readcount"
"Bcin07g02590","low readcount"
"Bcin07g02810","low readcount"
"Bcin07g03420","low readcount"
"Bcin07g03570","low readcount"
"Bcin07g03610","low readcount"
"Bcin07g03670","low readcount"
"Bcin07g04150","low readcount"
"Bcin07g04520","low readcount"
"Bcin07g04720","low readcount"
"Bcin07g04850","low readcount"
"Bcin07g04860","low readcount"
"Bcin07g04920","low readcount"
"Bcin07g05160","low readcount"
"Bcin07g05200","low readcount"
"Bcin07g05220","low readcount"
"Bcin07g05290","low readcount"
"Bcin07g05420","low readcount"
"Bcin07g05500","low readcount"
"Bcin07g05530","low readcount"
"Bcin07g05550","low readcount"
"Bcin07g05570","low readcount"
"Bcin07g05650","low readcount"
"Bcin07g05660","low readcount"
"Bcin07g06220","low readcount"
"Bcin07g06300","low readcount"
"Bcin07g06390","low readcount"
"Bcin07g06510","low readcount"
"Bcin07g06790","low readcount"
"Bcin07g06870","low readcount"
"Bcin08g00020","low readcount"
"Bcin08g00120","low readcount"
"Bcin08g00140","low readcount"
"Bcin08g00210","low readcount"
"Bcin08g00340","low readcount"
"Bcin08g00430","low readcount"
"Bcin08g00540","low readcount"
"Bcin08g00650","low readcount"
"Bcin08g00860","low readcount"
"Bcin08g00890","low readcount"
"Bcin08g00990","low readcount"
"Bcin08g01130","low readcount"
"Bcin08g01140","low readcount"
"Bcin08g01280","low readcount"
"Bcin08g01300","low readcount"
"Bcin08g01460","low readcount"
"Bcin08g01580","low readcount"
"Bcin08g01710","low readcount"
"Bcin08g01900","low readcount"
"Bcin08g02010","low readcount"
"Bcin08g02020","low readcount"
"Bcin08g02210","low readcount"
"Bcin08g02420","low readcount"
"Bcin08g02600","low readcount"
"Bcin08g02670","low readcount"
"Bcin08g02780","low readcount"
"Bcin08g02790","low readcount"
"Bcin08g02820","low readcount"
"Bcin08g02920","low readcount"
"Bcin08g03150","low readcount"
"Bcin08g03300","low readcount"
"Bcin08g03470","low readcount"
"Bcin08g03580","low readcount"
"Bcin08g03620","low readcount"
"Bcin08g03640","low readcount"
"Bcin08g03660","low readcount"
"Bcin08g03850","low readcount"
"Bcin08g03880","low readcount"
"Bcin08g03910","low readcount"
"Bcin08g04150","low readcount"
"Bcin08g04170","low readcount"
"Bcin08g04240","low readcount"
"Bcin08g04270","low readcount"
"Bcin08g04310","low readcount"
"Bcin08g04520","low readcount"
"Bcin08g04630","low readcount"
"Bcin08g04830","low readcount"
"Bcin08g04860","low readcount"
"Bcin08g04930","low readcount"
"Bcin08g05000","low readcount"
"Bcin08g05020","low readcount"
"Bcin08g05340","low readcount"
"Bcin08g05440","low readcount"
"Bcin08g05540","low readcount"
"Bcin08g05670","low readcount"
"Bcin08g05730","low readcount"
"Bcin08g06130","low readcount"
"Bcin08g06380","low readcount"
"Bcin08g06400","low readcount"
"Bcin08g06480","low readcount"
"Bcin08g06550","low readcount"
"Bcin08g06610","low readcount"
"Bcin08g06690","low readcount"
"Bcin08g06740","low readcount"
"Bcin08g06760","low readcount"
"Bcin08g06860","low readcount"
"Bcin08g06880","low readcount"
"Bcin08g06900","low readcount"
"Bcin08g06930","low readcount"
"Bcin08g06960","low readcount"
"Bcin08g07020","low readcount"
"Bcin08g07080","low readcount"
"Bcin09g00060","low readcount"
"Bcin09g00080","low readcount"
"Bcin09g00110","low readcount"
"Bcin09g00210","low readcount"
"Bcin09g00270","low readcount"
"Bcin09g00280","low readcount"
"Bcin09g00340","low readcount"
"Bcin09g00350","low readcount"
"Bcin09g00440","low readcount"
"Bcin09g00540","low readcount"
"Bcin09g00580","low readcount"
"Bcin09g00620","low readcount"
"Bcin09g00710","low readcount"
"Bcin09g00960","low readcount"
"Bcin09g01080","low readcount"
"Bcin09g01120","low readcount"
"Bcin09g01460","low readcount"
"Bcin09g01680","low readcount"
"Bcin09g01810","low readcount"
"Bcin09g01990","low readcount"
"Bcin09g02050","low readcount"
"Bcin09g02080","low readcount"
"Bcin09g02100","low readcount"
"Bcin09g02230","low readcount"
"Bcin09g02490","low readcount"
"Bcin09g02760","low readcount"
"Bcin09g02770","low readcount"
"Bcin09g02890","low readcount"
"Bcin09g03050","low readcount"
"Bcin09g03160","low readcount"
"Bcin09g04120","low readcount"
"Bcin09g04550","low readcount"
"Bcin09g05090","low readcount"
"Bcin09g05310","low readcount"
"Bcin09g05330","low readcount"
"Bcin09g05390","low readcount"
"Bcin09g05440","low readcount"
"Bcin09g05500","low readcount"
"Bcin09g05630","low readcount"
"Bcin09g05660","low readcount"
"Bcin09g05870","low readcount"
"Bcin09g06040","low readcount"
"Bcin09g06190","low readcount"
"Bcin09g06340","low readcount"
"Bcin09g06400","low readcount"
"Bcin09g06430","low readcount"
"Bcin09g06740","low readcount"
"Bcin09g06820","low readcount"
"Bcin09g07120","low readcount"
"Bcin10g00080","low readcount"
"Bcin10g00360","low readcount"
"Bcin10g00400","low readcount"
"Bcin10g00420","low readcount"
"Bcin10g00460","low readcount"
"Bcin10g00810","low readcount"
"Bcin10g00820","low readcount"
"Bcin10g00890","low readcount"
"Bcin10g00940","low readcount"
"Bcin10g00950","low readcount"
"Bcin10g00980","low readcount"
"Bcin10g01100","low readcount"
"Bcin10g01190","low readcount"
"Bcin10g01340","low readcount"
"Bcin10g01390","low readcount"
"Bcin10g01460","low readcount"
"Bcin10g01590","low readcount"
"Bcin10g01670","low readcount"
"Bcin10g02190","low readcount"
"Bcin10g02240","low readcount"
"Bcin10g02440","low readcount"
"Bcin10g02470","low readcount"
"Bcin10g02510","low readcount"
"Bcin10g02810","low readcount"
"Bcin10g02950","low readcount"
"Bcin10g02990","low readcount"
"Bcin10g03000","low readcount"
"Bcin10g03150","low readcount"
"Bcin10g03170","low readcount"
"Bcin10g03190","low readcount"
"Bcin10g03240","low readcount"
"Bcin10g03260","low readcount"
"Bcin10g03270","low readcount"
"Bcin10g03410","low readcount"
"Bcin10g03440","low readcount"
"Bcin10g03470","low readcount"
"Bcin10g03500","low readcount"
"Bcin10g03610","low readcount"
"Bcin10g03680","low readcount"
"Bcin10g03720","low readcount"
"Bcin10g03750","low readcount"
"Bcin10g03770","low readcount"
"Bcin10g03780","low readcount"
"Bcin10g03810","low readcount"
"Bcin10g03920","low readcount"
"Bcin10g04130","low readcount"
"Bcin10g04330","low readcount"
"Bcin10g04390","low readcount"
"Bcin10g04780","low readcount"
"Bcin10g05040","low readcount"
"Bcin10g05100","low readcount"
"Bcin10g05160","low readcount"
"Bcin10g05190","low readcount"
"Bcin10g05230","low readcount"
"Bcin10g05320","low readcount"
"Bcin10g05380","low readcount"
"Bcin10g05430","low readcount"
"Bcin10g05560","low readcount"
"Bcin10g05740","low readcount"
"Bcin10g06020","low readcount"
"Bcin11g00050","low readcount"
"Bcin11g00140","low readcount"
"Bcin11g00220","low readcount"
"Bcin11g00950","low readcount"
"Bcin11g01810","low readcount"
"Bcin11g01840","low readcount"
"Bcin11g01870","low readcount"
"Bcin11g01930","low readcount"
"Bcin11g02840","low readcount"
"Bcin11g02860","low readcount"
"Bcin11g03080","low readcount"
"Bcin11g03140","low readcount"
"Bcin11g04020","low readcount"
"Bcin11g04030","low readcount"
"Bcin11g04410","low readcount"
"Bcin11g04450","low readcount"
"Bcin11g04770","low readcount"
"Bcin11g05150","low readcount"
"Bcin11g05270","low readcount"
"Bcin11g05300","low readcount"
"Bcin11g05880","low readcount"
"Bcin11g06010","low readcount"
"Bcin11g06020","low readcount"
"Bcin11g06060","low readcount"
"Bcin11g06100","low readcount"
"Bcin11g06170","low readcount"
"Bcin11g06260","low readcount"
"Bcin12g00090","low readcount"
"Bcin12g00100","low readcount"
"Bcin12g00110","low readcount"
"Bcin12g00300","low readcount"
"Bcin12g00610","low readcount"
"Bcin12g00680","low readcount"
"Bcin12g00740","low readcount"
"Bcin12g00770","low readcount"
"Bcin12g00850","low readcount"
"Bcin12g00860","low readcount"
"Bcin12g00870","low readcount"
"Bcin12g00900","low readcount"
"Bcin12g00960","low readcount"
"Bcin12g00970","low readcount"
"Bcin12g00990","low readcount"
"Bcin12g01120","low readcount"
"Bcin12g01260","low readcount"
"Bcin12g01300","low readcount"
"Bcin12g01350","low readcount"
"Bcin12g01420","low readcount"
